"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2026","116.04","114.32","116.04","114.32","5.87K","0.88%"
"02/05/2026","115.03","116.01","116.25","114.36","7.53K","-1.00%"
"02/04/2026","116.18","116.42","116.77","116.14","4.42K","-0.40%"
"02/03/2026","116.65","117.68","117.88","116.59","6.61K","-0.67%"
"02/02/2026","117.44","115.26","117.50","115.19","8.32K","1.19%"
"01/30/2026","116.07","114.89","116.21","114.86","3.93K","0.98%"
"01/29/2026","114.93","116.03","116.38","114.40","5.09K","-1.10%"
"01/28/2026","116.21","116.14","116.32","115.88","4.48K","0.30%"
"01/27/2026","115.86","116.74","116.78","115.74","2.35K","-0.33%"
"01/26/2026","116.25","115.96","116.32","115.51","7.13K","-0.55%"
"01/23/2026","116.89","117.18","117.21","116.65","2.65K","-0.18%"
"01/22/2026","117.11","117.32","117.67","116.89","6.92K","0.64%"
"01/21/2026","116.36","115.64","116.63","114.89","9.02K","0.08%"
"01/20/2026","116.26","116.26","116.34","115.46","7.44K","-0.77%"
"01/19/2026","117.17","117.50","117.75","117.13","5.59K","-1.61%"
"01/16/2026","119.09","119.27","119.27","118.70","3.11K","-0.20%"
"01/15/2026","119.32","118.48","119.37","118.47","6.14K","1.38%"
"01/14/2026","117.69","118.59","118.63","117.50","5.88K","-0.98%"
"01/13/2026","118.86","118.78","119.01","118.50","6.06K","0.28%"
"01/12/2026","118.53","117.86","118.57","117.47","8.32K","-0.14%"
"01/09/2026","118.70","118.05","118.84","118.00","2.97K","0.72%"
"01/08/2026","117.86","117.58","117.92","117.54","1.96K","-0.25%"
"01/07/2026","118.15","118.04","118.17","117.86","5.46K","0.52%"
"01/06/2026","117.54","116.96","117.79","116.75","8.25K","0.32%"
"01/05/2026","117.16","116.69","117.36","116.68","6.17K","1.19%"
"01/02/2026","115.79","116.47","116.88","115.51","34.24K","-0.71%"
"12/30/2025","116.61","116.49","116.61","116.36","3.84K","0.09%"
"12/29/2025","116.51","116.67","116.76","116.23","3.86K","0.21%"
"12/23/2025","116.26","115.88","116.27","115.67","8.04K","0.16%"
"12/22/2025","116.08","116.06","116.09","115.79","5.70K","0.32%"
"12/19/2025","115.72","115.11","115.72","114.90","1.47K","0.38%"
"12/18/2025","115.29","114.05","115.35","114.00","9.32K","1.22%"
"12/17/2025","113.90","115.38","115.63","113.90","4.53K","-0.51%"
"12/16/2025","114.49","114.58","115.06","114.35","2.75K","-0.66%"
"12/15/2025","115.25","115.82","116.04","114.91","5.79K","-0.02%"
"12/12/2025","115.27","116.75","116.87","115.19","5.70K","-0.63%"
"12/11/2025","116.00","115.91","116.37","115.63","5.83K","-0.62%"
"12/10/2025","116.71","116.71","116.79","116.39","5.04K","-0.28%"
"12/09/2025","117.04","116.94","117.15","116.57","6.60K","0.10%"
"12/08/2025","116.93","117.14","117.21","116.81","4.19K","-0.18%"
"12/05/2025","117.14","116.97","117.41","116.73","7.54K","0.47%"
"12/04/2025","116.58","116.60","116.71","116.30","5.66K","0.09%"
"12/03/2025","116.49","116.65","116.67","115.85","6.55K","-0.06%"
"12/02/2025","116.55","116.29","117.13","116.29","46.20K","0.02%"
"12/01/2025","116.53","116.30","116.53","115.81","5.81K","-0.40%"
"11/28/2025","117.00","116.83","117.26","116.83","17.14K","0.36%"
"11/27/2025","116.57","116.59","116.75","116.55","4.62K","-0.11%"
"11/26/2025","116.71","116.37","116.71","116.16","3.68K","1.23%"
"11/25/2025","115.29","115.38","115.39","114.31","3.14K","0.08%"
"11/24/2025","115.19","114.21","115.27","113.71","10.34K","1.48%"
"11/21/2025","113.51","112.68","113.51","112.18","5.04K","-1.17%"
"11/20/2025","114.85","115.90","116.47","114.85","9.21K","0.75%"
"11/19/2025","113.99","113.41","114.70","113.40","5.16K","0.32%"
"11/18/2025","113.63","113.58","114.04","112.64","10.09K","-1.17%"
"11/17/2025","114.96","115.70","115.83","114.55","11.60K","-0.31%"
"11/14/2025","115.32","114.61","115.32","113.36","53.95K","-0.04%"
"11/13/2025","115.36","117.13","117.15","115.36","6.24K","-1.43%"
"11/12/2025","117.04","117.56","117.79","116.81","13.15K","0.44%"
"11/11/2025","116.53","117.00","117.04","116.43","3.62K","0.21%"
"11/10/2025","116.28","116.14","116.74","116.07","5.69K","2.17%"
"11/07/2025","113.81","115.94","115.94","113.81","8.78K","-1.47%"
"11/06/2025","115.50","116.75","117.20","115.50","20.27K","-1.73%"
"11/05/2025","117.54","116.61","117.54","116.46","16.93K","0.19%"
"11/04/2025","117.31","116.74","117.68","116.47","7.65K","-0.35%"
"11/03/2025","117.72","117.66","118.44","117.46","16.65K","0.14%"
"10/31/2025","117.57","117.85","118.14","117.36","7.73K","-0.01%"
"10/30/2025","117.57","117.63","117.84","117.25","5.10K","0.17%"
"10/29/2025","117.38","117.82","117.88","117.21","4.17K","0.29%"
"10/28/2025","117.04","116.85","117.49","116.79","4.76K","0.21%"
"10/27/2025","116.79","116.81","116.83","116.56","2.73K","0.72%"
"10/24/2025","115.96","115.39","115.96","115.16","17.05K","1.05%"
"10/23/2025","114.75","114.78","114.88","114.45","7.83K","0.37%"
"10/22/2025","114.33","115.06","115.37","114.33","7.75K","-0.63%"
"10/21/2025","115.07","114.60","115.17","114.60","6.98K","0.59%"
